ServiceType,Type,Quality,SKU,Description,Price
Managed Services,Networking,Silver (12x5),MS-FM-5060 .S,Managed Office Router 1P (WAN) Silver,57
Managed Services,Networking,Silver (12x5),MS-FM-5070 .S,Managed Network Appliance Silver,57
Managed Services,Networking,Silver (12x5),MS-FM-6010.S,Managed Firewall - Primary Silver,114
Managed Services,Networking,Silver (12x5),MS-FM-6011.S,Managed Firewall Service-Fail Over Silver,64
Managed Services,Networking,Silver (12x5),MS-FM-6020.S,Managed Load Balancer-Primary Silver,167
Managed Services,Networking,Silver (12x5),MS-FM-6021.S,Managed Load Balancer Service-Fail Over Silver,84
Managed Services,Networking,Silver (12x5),MS-FM-6042 .S,Managed Access Point Controller Silver,117
Managed Services,Networking,Silver (12x5),MS-FM-6050.S,Managed Firewall/Router (Office): Silver,57
Managed Services,Networking,Silver (12x5),MS-FM-6080.S,Managed Access Point Fit (Office) Silver,34
Managed Services,Networking,Silver (12x5),MS-FM-6081.S,Managed Access Point Fat (Office) Silver,57
Managed Services,Networking,Silver (12x5),MS-FM-6082.S,Managed Access Point Fit (Office) > 20 Silver,11
Managed Services,Networking,Silver (12x5),MS-FM-6083.S,Managed Access Point Fat (Office) >20 Silver,14
Managed Services,One Time,-,PS-MS-OB-0000,Phase 1 - Digital Audit Base (includes 10 devices or less),2500
Managed Services,One Time,-,PS-MS-OB-0010,Phase 1 - Digital Audit (per device),250
Managed Services,One Time,-,PS-MS-OB-0020,Phase 2 - Remediation Services per hour (optional/4 hours minimum),720
Managed Services,One Time,-,PS-MS-OB-0020-CUS,Phase 2 - Remediation Services Fixed,0
Managed Services,One Time,-,PS-MS-OTSU-0001.CUS,Detailed Onboarding (Use Transition Pricing Tool),0
Managed Services,One Time,-,PS-MS-OTSU-0002.CUS,Custom Integration and Migration Services for Cloud solution,0
Managed Services,One Time,-,PS-OB-GEN-001,On Boarding per device,200
Managed Services,Optional,-,MS-OPT-2000,Change Management,960
Managed Services,Optional,-,MS-OPT-2010,Virtual CIO,1600
Managed Services,Optional,-,MS-OPT-2020,Cluster Failover Test,1300
Managed Services,Optional,-,MS-OPT-2030,Disaster Recovery Test Annual,5500
Managed Services,Optional,-,MS-OPT-DRTest-1Y.001,"Disaster Recovery Test Annual rate ( 2 storage, >=20 VMs, NW Appliance, FWs) yearly contract",5500
Managed Services,Optional,-,MS-OPT-DRTest-1M.001,"Disaster Recovery Test Monthly rate ( 2 storage, >=20 VMs, NW Appliance, FWs) yearly contract",600
Managed Services,Optional,-,MS-OPT-DRTest-1M.001,Disaster Recovery Test Monthly rate ( Add On) yearly contract,25
Managed Services,Optional,Firmware,MS-OPT-3PAR-FW.001,"3PAR Firmware Upgrade Monthly (3PAR + <10 Hosts, T&M extra)(once a year)",600
Managed Services,Optional,Firmware,MS-OPT-3PAR-FW.002,"3PAR Firmware Upgrade Monthly (3PAR + <10 Hosts, T&M extra)(Twice a year)",900
Managed Services,Optional,OS,MS-OPT.OS.PATCH.01.01,GUEST O/S - SOFTWARE PATCHING (ONE INSTANCE PER VM),65
Managed Services,Optional,OS,MS-OPT.OS.VUL.01.01,GUEST O/S - SOFTWARE VULNERABILITY SCANNING PATCHING (ONE INSTANCE PER VM),125
Managed Services,Optional,Networking,MS-OPT.NET.DNS.01.01,SERVICE - DNS HOSTING (per Domain Name),6.6
Managed Services,Optional,Networking,MS-OPT.NET.VPN.01.01,SERVICE - VPN MANAGEMENT AND MONITORING,33.5
Managed Services,Physical,Bronze (9x5),MS-BDL-1000,Physical Server Support Bundle Low (2 CPU /32 GB RAM) Bronze,160
Managed Services,Physical,Bronze (9x5),MS-BDL-1001,Physical Server Support Bundle Mid (2-4 CPU /32 - 96 GB RAM) Bronze,188
Managed Services,Physical,Bronze (9x5),MS-BDL-1002,Physical Server Support Bundle High (>4 CPU / >96 GB RAM) Bronze,230
Managed Services,Physical,Bronze (9x5),MS-BDL-8010,Blade Infrastructure Enclosure Management Bundle Bronze,144
Managed Services,Physical,Bronze (9x5),MS-FM-8010,Blade Enclosure Monitoring and Response Bronze,80
Managed Services,Physical,Bronze (9x5),MS-FM-8020,Blade Enclosure IO Module Monitoring and Response Bronze,80
Managed Services,Physical,Bronze (9x5),MS-FM-8030,Blade Server Hardware Monitoring and Response Bronze,28
Managed Services,Physical,Gold (24x7),MS-BDL-1000.G,Physical Server Support Bundle Low (2 CPU /32 GB RAM) Gold,300
Managed Services,Physical,Gold (24x7),MS-BDL-1001.G,Physical Server Support Bundle Mid (2-4 CPU /32 - 96 GB RAM) Gold,350
Managed Services,Physical,Gold (24x7),MS-BDL-1002.G,Physical Server Support Bundle High (>4 CPU / >96 GB RAM) Gold,430
Managed Services,Physical,Gold (24x7),MS-BDL-8010.G,Blade Infrastructure Enclosure Management Bundle Gold,270
Managed Services,Physical,Gold (24x7),MS-FM-8010.G,Blade Enclosure Monitoring and Response Gold,150
Managed Services,Physical,Gold (24x7),MS-FM-8020.G,Blade Enclosure IO Module Monitoring and Response Gold,150
Managed Services,Physical,Gold (24x7),MS-FM-8030.G,Blade Server Hardware Monitoring and Response Gold,50
Managed Services,Physical,Silver (12x5),MS-BDL-1000.S,Physical Server Support Bundle Low (2 CPU /32 GB RAM) Silver,200
Managed Services,Physical,Silver (12x5),MS-BDL-1001.S,Physical Server Support Bundle Mid (2-4 CPU /32 - 96 GB RAM) Silver,234
Managed Services,Physical,Silver (12x5),MS-BDL-1002.S,Physical Server Support Bundle High (>4 CPU / >96 GB RAM) Silver,287
Managed Services,Physical,Silver (12x5),MS-BDL-8010.S,Blade Infrastructure Enclosure Management Bundle Silver,180
Managed Services,Physical,Silver (12x5),MS-FM-8010.S,Blade Enclosure Monitoring and Response Silver,100
Managed Services,Physical,Silver (12x5),MS-FM-8020.S,Blade Enclosure IO Module Monitoring and Response Silver,100
Managed Services,Physical,Silver (12x5),MS-FM-8030.S,Blade Server Hardware Monitoring and Response Silver,34
Maintenance Service,Services Montreal,-,MNCT-7x24 x2-M,7x24 - 2 hour Phone Response,0
Maintenance Service,Services Montreal,-,MNCT-7x24 x4-M,7x24 - 4 hour Phone Response,0
Maintenance Service,Services Montreal,-,MNCT-5x8 x2/SBD-M,"5x8 - 5 days per week, 8 hours per day Monday 8:30 local time - Friday 5:00 pm local time
 SLA = 2 hour Phone Response / SBD On Site",0
Maintenance Service,Services Montreal,-,MNCT-5x8 x4/NBD-M,"5x8 - 5 days per week, 8 hours per day Monday 8:30 local time - Friday 5:00 pm local time
 SLA = 4 hour Phone Response / NBD On Site",0
Maintenance Service,Services Montreal,-,MNCT-5x12 x2/SBD-M,"5x12 - 5 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 2 hour Phone Response / SBD on site",0
Maintenance Service,Services Montreal,-,MNCT-5x12 x4/NBD-M,"5x12 - 5 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 4 hour Phone Response / NBD On Site",0
Maintenance Service,Services Montreal,-,MNCT-7x12 x2/SBD-M,"7x12 - 5 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 2 hour Phone Response / SBD on site",0
Maintenance Service,Services Montreal,-,MNCT-7x12 x4/NBD-M,"7x12 - 7 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 4 hour Phone Response / NBD On Site",0
Maintenance Service,Services Toronto,-,MNCT-7x24 x2,7x24 - 2 hour Phone Response,0
Maintenance Service,Services Toronto,-,MNCT-7x24 x4,7x24 - 4 hour Phone Response,0
Maintenance Service,Services Toronto,-,MNCT-7x24 Swap,"7x24 - 7 days per week, (Customer will replace the FRU)
 SLA = 4 hour Phone Response / NBD shipping",0
Maintenance Service,Services Toronto,-,MNCT-5x8 x2/SBD,"5x8 - 5 days per week, 8 hours per day Monday 8:30 local time - Friday 5:00 pm local time
 SLA = 2 hour Phone Response / SBD On Site",0
Maintenance Service,Services Toronto,-,MNCT-5x8 x4/NBD,"5x8 - 5 days per week, 8 hours per day Monday 8:30 local time - Friday 5:00 pm local time
 SLA = 4 hour Phone Response / NBD On Site",0
Maintenance Service,Services Toronto,-,MNCT-5x12 x2/SBD,"5x12 - 5 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 2 hour Phone Response / SBD on site",0
Maintenance Service,Services Toronto,-,MNCT-5x12 x4/NBD,"5x12 - 5 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 4 hour Phone Response / NBD On Site",0
Maintenance Service,Services Toronto,-,MNCT-7x12 x2/SBD,"7x12 - 5 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 2 hour Phone Response / SBD on site",0
Maintenance Service,Services Toronto,-,MNCT-7x12 x4/NBD,"7x12 - 7 days per week, 12 hours per day Monday 8:30 local time - Friday 8:30 pm local time
 SLA = 4 hour Phone Response / NBD On Site",0
Maintenance Service,Services Toronto,-,MNCT-7x24-SWAP,"7x24 Support, Customer is responsible to replace the part. Commerx will ship the part and assist remotely.",0
Professional Services,Solution Sets,-,PS-C-GN-HP,Commerx Generic HP Solution,0
Professional Services,Solution Sets,-,PS-C-GN-TKO,Commerx Generic Cloud TKO Integartion Solution,0
Professional Services,Solution Sets,-,PS-C-GN-CTL,Commerx Generic Cloud Integration CTL Solution,0
Professional Services,Solution Sets,-,PS-C-GN-CMX.01,Commerx Generic Instalation and Setup Solution,0
Professional Services,Solution Sets,-,PS-C-GN-CMX.02,Commerx Generic Profesional Services and Project Management Solution,0
Professional Services,Solution Sets,-,PS-C-GN-CMX.03,Commerx Generic Migration Services,0
Professional Services,Solution Sets,-,PS-C-GN-MIG,Commerx Generic Migration Solution,0
Professional Services,Solution Sets,-,PS-C-DP-HP,Commerx Data Protection HP Solution,0
Professional Services,Solution Sets,-,PS-C-SN-HP,Commerx SAN HP Solution,0
Professional Services,Solution Sets,-,PS-C-MG-HP,Commerx Management HP Solution,0
Professional Services,Solution Sets,-,PS-C-GN-VM,Commerx Generic VMware Solution,0
Professional Services,Solution Sets,-,PS-C-US-HP,Commerx Unix HP Solution,0
Professional Services,Solution Sets,-,PS-C-NW-HP,Commerx Network HP Solution,0
Professional Services,Solution Sets,-,PS-C-PC-HP,Commerx Private Cloud HP Solution,0
Professional Services,Solution Sets,-,PS-C-SS-HP,Commerx Security Services HP Solution,0
Professional Services,Solution Sets,-,PS-C-VT-HP,Commerx Virtualization HP Solution,0
Professional Services,Solution Sets,-,PS-C-HV-HP,Commerx Hyper-converged HP Solution,0
Managed Services,Storage,Bronze (9x5),MS-BDL-3000,Enterprise SAN Support Bundle Bronze,150
Managed Services,Storage,Bronze (9x5),MS-BDL-3010,Commercial SAN Support Bundle Bronze,124
Managed Services,Storage,Bronze (9x5),MS-BDL-3020,End User Computing NAS Support Bundle Bronze,80
Managed Services,Storage,Gold (24x7),MS-BDL-3000.G,Enterprise SAN Support Bundle Gold,280
Managed Services,Storage,Gold (24x7),MS-BDL-3010.G,Commercial SAN Support Bundle Gold,230
Managed Services,Storage,Gold (24x7),MS-BDL-3020.G,End User Computing NAS Support Bundle Gold,150
Managed Services,Storage,Silver (12x5),MS-BDL-3000.S,Enterprise SAN Support Bundle Silver,187
Managed Services,Storage,Silver (12x5),MS-BDL-3010.S,Commercial SAN Support Bundle Silver,154
Managed Services,Storage,Silver (12x5),MS-BDL-3020.S,End User Computing NAS Support Bundle Silver,100
Managed Services,Storage,Bronze (9x5),MS-SAN-48P.01,Managed SAN Switch 48 ports Bronze,54
Managed Services,Storage,Bronze (9x5),MS-SAN-24P.01,Managed SAN Switch 24 ports Bronze,46
Managed Services,Storage,Gold (24x7),MS-SAN-48P.G.01,Managed SAN Switch 48 ports Gold,100
Managed Services,Storage,Gold (24x7),MS-SAN-24P.G.01,Managed SAN Switch 24 ports Gold,85
Managed Services,Storage,Silver (12x5),MS-SAN-48P.S.01,Managed SAN Switch 48 ports Silver,67
Managed Services,Storage,Silver (12x5),MS-SAN-24P.S.01,Managed SAN Switch 24 ports Silver,57
Managed Services,UNIX,Bronze (9x5),MS-BDL-2000,HP-UX Server Support bundle Base (Bronze),198
Managed Services,UNIX,Bronze (9x5),MS-BDL-2001,HP-UX Server Support bundle High End (Bronze),224
Managed Services,UNIX,Bronze (9x5),MS-BDL-2002,HP-UX Application Monitoring (Bronze),35
Managed Services,UNIX,Bronze (9x5),MS-BDL-2003,HP-UX Replication/DR Monitoring (Bronze),55
Managed Services,UNIX,Bronze (9x5),MS-BDL-2004,HP-UX High-Availabilty Add-on (Bronze),55
Managed Services,UNIX,Gold (24x7),MS-BDL-2000.G,HP-UX Server Support bundle Base Gold,370
Managed Services,UNIX,Gold (24x7),MS-BDL-2001.G,HP-UX Server Support bundle High End Gold,420
Managed Services,UNIX,Gold (24x7),MS-BDL-2002.G,HP-UX Application Monitoring Gold,50
Managed Services,UNIX,Gold (24x7),MS-BDL-2003.G,HP-UX Replication/DR Monitoring Gold,75
Managed Services,UNIX,Gold (24x7),MS-BDL-2004.G,HP-UX High-Availabilty Add-on Gold,75
Managed Services,UNIX,Silver (12x5),MS-BDL-2000.S,HP-UX Server Support bundle Base Silver,247
Managed Services,UNIX,Silver (12x5),MS-BDL-2001.S,HP-UX Server Support bundle High End Silver,280
Managed Services,UNIX,Silver (12x5),MS-BDL-2002.S,HP-UX Application Monitoring Silver,40
Managed Services,UNIX,Silver (12x5),MS-BDL-2003.S,HP-UX Replication/DR Monitoring Silver,60
Managed Services,UNIX,Silver (12x5),MS-BDL-2004.S,HP-UX High-Availabilty Add-on Silver,60
Managed Services,Virtual Server,Bronze (9x5),MS-BDL-1010,Manage Virtual Machine Low (1 - 2 vCPU / <16GB) Bronze,86
Managed Services,Virtual Server,Bronze (9x5),MS-BDL-1011,Manage Virtual Machine Mid (4 vCPU/ >16GB) Bronze,160
Managed Services,Virtual Server,Bronze (9x5),MS-BDL-1012,Manage Virtual Machine High (> 4 vCPU) Bronze,188
Managed Services,Virtual Server,Bronze (9x5),MS-BDL-1030,Manage Virtual Appliance (1-2vCPU) Bronze,86
Managed Services,Virtual Server,Gold (24x7),MS-BDL-1010.G,Virtual Machine Low (1 - 2 vCPU / <16GB) Gold,160
Managed Services,Virtual Server,Gold (24x7),MS-BDL-1011.G,Virtual Machine Mid (4 vCPU/ >16GB) Gold,300
Managed Services,Virtual Server,Gold (24x7),MS-BDL-1012.G,Virtual Machine High (> 4 vCPU) Gold,350
Managed Services,Virtual Server,Gold (24x7),MS-BDL-1030.G,Virtual Appliance (1-2vCPU) Gold,160
Managed Services,Virtual Server,Silver (12x5),MS-BDL-1010.S,Virtual Machine Low (1 - 2 vCPU / <16GB) Silver,107
Managed Services,Virtual Server,Silver (12x5),MS-BDL-1011.S,Virtual Machine Mid (4 vCPU/ >16GB) Silver,200
Managed Services,Virtual Server,Silver (12x5),MS-BDL-1012.S,Virtual Machine High (> 4 vCPU) Silver,234
Managed Services,Virtual Server,Silver (12x5),MS-BDL-1030.S,Virtual Appliance (1-2vCPU) Silver,107
Managed Services,Optional,Firmware,MS-OPT-SANSW-FW.001,SAN Switch Firmware Upgrade Monthly (once a year),80
Managed Services,Optional,Firmware,MS-OPT-HOST-FW.001,Host Firmware Upgrade Monthly (once a year),80
Managed Services,Optional,Firmware,MS-OPT-BLADE-FW.001,Blade Firmware Upgrade Monthly (once a year),80
Managed Services,Optional,Firmware,MS-OPT-PHSRV-FW.001,Stand Alone Firmware Upgrade Monthly (once a year),100
Managed Services,Optional,Firmware,MS-OPT-NWSW-FW.001,Network Switch Firmware Upgrade Monthly (once a year),40
Managed Services,Optional,Firmware,MS-OPT-FIREWL-FW.001,FireWall Firmware Upgrade Monthly (once a year),80
Managed Services,Optional,Firmware,MS-OPT-F5BL-FW.001,F5 Firmware Upgrade Monthly (once a year),110
Managed Services,Optional,Firmware,MS-OPT-STORC-FW.001,Comercial Storage Firmware Upgrade Monthly (once a year),160
Managed Services,Optional,Firmware,MS-OPT-RVB-FW.001,Riverbed Firmware Upgrade Monthly (once a year),80
Managed Services,Optional,Firmware,MS-OPT-UXPC-FW.001,Unix Paching and Firmware Upgrade Monthly (once a year),200
Managed Services,Optional,Firmware,MS-OPT-C700-FW.001,HP C700 Blade Enclosure Firmware Upgrade Monthly (once a year),400
Managed Services,Optional,Firmware,MS-OPT-C7000-FW.001,HP C7000 Blade Enclosure Firmware Upgrade Monthly (once a year),320
Managed Services,Optional,Firmware,MS-OPT-C3000-FW.001,HP C3000 Blade Enclosure Firmware Upgrade Monthly (once a year),320
Managed Services,Optional,Firmware,MS-OPT-C7000-ADDVCP.001,HP BLC VC Pair Flexfabric Firmware Upgrade Monthly (once a year),90
Managed Services,Optional,Firmware,MS-OPT-SANSW-FW.002,SAN Switch Firmware Upgrade Monthly (Twice a year),120
Managed Services,Optional,Firmware,MS-OPT-HOST-FW.002,Host Firmware Upgrade Monthly (Twice a year),120
Managed Services,Optional,Firmware,MS-OPT-BLADE-FW.002,Blade Firmware Upgrade Monthly (Twice a year),120
Managed Services,Optional,Firmware,MS-OPT-PHSRV-FW.002,Stand Alone Firmware Upgrade Monthly (Twice a year),150
Managed Services,Optional,Firmware,MS-OPT-NWSW-FW.002,Network Switch Firmware Upgrade Monthly (Twice a year),60
Managed Services,Optional,Firmware,MS-OPT-FIREWL-FW.002,FireWall Firmware Upgrade Monthly (Twice a year),120
Managed Services,Optional,Firmware,MS-OPT-F5BL-FW.002,F5 Firmware Upgrade Monthly (Twice a year),165
Managed Services,Optional,Firmware,MS-OPT-STORC-FW.002,Comercial Storage Firmware Upgrade Monthly (Twice a year),240
Managed Services,Optional,Firmware,MS-OPT-RVB-FW.002,Riverbed Firmware Upgrade Monthly (Twice a year),120
Managed Services,Optional,Firmware,MS-OPT-UXPC-FW.002,Unix Paching and Firmware Upgrade Monthly (Twice a year),300
Managed Services,Optional,Firmware,MS-OPT-C700-FW.002,HP C700 Blade Enclosure Firmware Upgrade Monthly (Twice a year),600
Managed Services,Optional,Firmware,MS-OPT-C7000-FW.002,HP C7000 Blade Enclosure Firmware Upgrade Monthly (Twice a year),480
Managed Services,Optional,Firmware,MS-OPT-C3000-FW.002,HP C3000 Blade Enclosure Firmware Upgrade Monthly (Twice a year),480
Managed Services,Optional,Firmware,MS-OPT-C7000-ADDVCP.002,HP BLC VC Pair Flexfabric Firmware Upgrade Monthly (Twice a year),135
Managed Services,Optional,Firmware,MS-OPT-SANSW-FW.004,SAN Switch Firmware Upgrade Monthly (Quarterly in a year),200
Managed Services,Optional,Firmware,MS-OPT-HOST-FW.004,Host Firmware Upgrade Monthly (Quarterly in a year),200
Managed Services,Optional,Firmware,MS-OPT-BLADE-FW.004,Blade Firmware Upgrade Monthly (Quarterly in a year),200
Managed Services,Optional,Firmware,MS-OPT-PHSRV-FW.004,Stand Alone Firmware Upgrade Monthly (Quarterly in a year),250
Managed Services,Optional,Firmware,MS-OPT-NWSW-FW.004,Network Switch Firmware Upgrade Monthly (Quarterly in a year),100
Managed Services,Optional,Firmware,MS-OPT-FIREWL-FW.004,FireWall Firmware Upgrade Monthly (Quarterly in a year),200
Managed Services,Optional,Firmware,MS-OPT-STORC-FW.004,Comercial Storage Firmware Upgrade Monthly (Quarterly in a year),400
Managed Services,Optional,Firmware,MS-OPT-RVB-FW.004,Riverbed Firmware Upgrade Monthly (Quarterly in a year),200
Managed Services,Optional,Firmware,MS-OPT-UXPC-FW.004,Unix Paching and Firmware Upgrade Monthly (Quarterly in a year),500
Managed Services,Optional,Firmware,MS-OPT-C700-FW.004,HP C700 Blade Enclosure Firmware Upgrade Monthly (Quarterly in a year),1000
Managed Services,Optional,Firmware,MS-OPT-C7000-FW.004,HP C7000 Blade Enclosure Firmware Upgrade Monthly (Quarterly in a year),800
Managed Services,Optional,Firmware,MS-OPT-C3000-FW.004,HP C3000 Blade Enclosure Firmware Upgrade Monthly (Quarterly in a year),800
Managed Services,Optional,Firmware,MS-OPT-C7000-ADDVCP.004,HP BLC VC Pair Flexfabric Firmware Upgrade Monthly (Quarterly in a year),225
Managed Services,Optional,Firmware,MS-OPT-CISCO-CORENHD.001,Cisco Core and High Density Switche (once a year),110
Managed Services,Optional,Firmware,MS-OPT-CISCO-CORENHD.002,Cisco Core and High Density Switche (Twice a year),165
